NR,C,13|NAME,C,30|ZUSATZ,C,254|ZUSATZNR,C,11|EINHEIT,C,8|PREISA,C,10|SOPREISA,C,10|PREISB,C,10|SOPREISB,C,10|TEXT,C,254|TEXT_2,C,254|TEXT_3,C,254|TEXT_4,C,254|TEXT2,C,254|TEXT2_2,C,254|TEXT2_3,C,254|TEXT2_4,C,254|TEXT3,C,254|TEXT3_2,C,254|TEXT3_3,C,254|TEXT3_4,C,254|EAN,C,13|MHD,C,10|HALTBTAGE,C,3|GRAFIK,C,254|GRAFIK2,C,254|VKGEWICHT,C,8|KGPREISA,C,25|KGPREISB,C,25|BPTEXT1,C,254|BPTEXT1_2,C,254|BPTEXT1_3,C,254|BPTEXT1_4,C,254|BPTEXT2,C,254|BPTEXT2_2,C,254|BPTEXT2_3,C,254|BPTEXT2_4,C,254|BPTEXT3,C,254|BPTEXT3_2,C,254|BPTEXT3_3,C,254|BPTEXT3_4,C,254|BPTEXT4,C,254|BPTEXT4_2,C,254|BPTEXT4_3,C,254|BPTEXT4_4,C,254|BPTEXT5,C,254|BPTEXT5_2,C,254|BPTEXT5_3,C,254|BPTEXT5_4,C,254|BPTEXT6,C,254|BPTEXT6_2,C,254|BPTEXT6_3,C,254|BPTEXT6_4,C,254|BPTEXT7,C,254|BPTEXT7_2,C,254|BPTEXT7_3,C,254|BPTEXT7_4,C,254|BPTEXT8,C,254|BPTEXT8_2,C,254|BPTEXT8_3,C,254|BPTEXT8_4,C,254|BPTEXT9,C,254|BPTEXT9_2,C,254|BPTEXT9_3,C,254|BPTEXT9_4,C,254|BPTEXT10,C,254|BPTEXT10_2,C,254|BPTEXT10_3,C,254|BPTEXT10_4,C,254|LINKARTIK,C,30|LINKPREIS,C,10|KJ,C,10|KCAL,C,10|EIWEISS,C,10|FETT,C,10|KOHLENHYDR,C,10|GESFETTSAE,C,10|ZUCKER,C,10|BALLASTSTO,C,10|KOCHSALZ,C,10|BEINHEITEN,C,10|GRAMMBE,C,10|ALLERGENE,C,254
6|*Weizen Vollkorn Brot bio 750g|||750g|4,350|0,000|4,350|0,000|Weizenvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*||||Weizenvollkornbrot||||750g|||||15.07.2020||||750 g|5,800|0,580|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 996 kJ / 238 kcal  /  Fett: 3,1 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 40,1 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,3 g  /  Eiweiß: 7,9 g  /  Salz: 1,7 g  /  Broteinheiten (BE): 3,3  /  1 BE entspricht: 30 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||996|238|7,86 g|3,12 g|40,14 g|1,19 g|0,48 g|7,31 g|1,68 g|3,34|29,90 g|Gluten
6x|SB- *Weizen Vollkorn Bro|||750g|4,350|0,000|4,350|0,000|Weizenvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*||||Weizenvollkornbrot||||750g|||||15.07.2020||||750 g|5,800|0,580|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 996 kJ / 238 kcal  /  Fett: 3,1 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 40,1 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,3 g  /  Eiweiß: 7,9 g  /  Salz: 1,7 g  /  Broteinheiten (BE): 3,3  /  1 BE entspricht: 30 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||996|238|7,86 g|3,12 g|40,14 g|1,19 g|0,48 g|7,31 g|1,68 g|3,34|29,90 g|Gluten
7a|Parisettestange  bio|||750g|3,250|0,000|3,250|0,000|Weizenmehl 550, Dinkelmehl 630, Roggenmehl, Bioreal-Hefe, Meersalz*||||Weizenmehrkornbrot||||750g|||||15.07.2020||||350 g|9,286|0,929|WEIZENMEHL TYPE 550 BIO*; Wasser; Salz; Bio-Realhefe bio; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser)||||Ø je 100 g:  Energie: 1171 kJ / 280 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,1 g  /  Kohlenhydrate: 58,4 g  /  davon Zucker: 0,6 g  /  Ballaststoffe: 3,5 g  /  Eiweiß: 8,7 g  /  Salz: 1,6 g  /  Broteinheiten (BE): 4,9  /  1 BE entspricht: 21 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Roggen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENMEHL TYPE 550 BIO*, SAUERTEIG ROGGENSCHROT BIO"||||||||||||||||||||||||||||||||||1171|280|8,66 g|0,92 g|58,39 g|0,14 g|0,59 g|3,46 g|1,63 g|4,87|20,55 g|Gluten
8|*Rosinenbrot bio 750g|||750g|4,750|0,000|4,750|0,000|Weizenvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*, Sultaninen||||Rosinenbrot||||750g|||||15.07.2020||||750 g|6,333|0,633|WEIZENVOLLKORNMEHL BIO; Rosinen bio; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1067 kJ / 255 kcal  /  Fett: 2,7 g  /  davon ges. Fettsäuren: 1,0 g  /  Kohlenhydrate: 47,1 g  /  davon Zucker: 14,4 g  /  Ballaststoffe: 6,4 g  /  Eiweiß: 7,0 g  /  Salz: 1,4 g  /  Broteinheiten (BE): 3,9  /  1 BE entspricht: 25 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1067|255|7,02 g|2,65 g|47,10 g|1,00 g|14,44 g|6,42 g|1,38 g|3,92|25,48 g|Gluten
8x|SB- *Rosinenbrot bio 750|||750g|4,750|0,000|4,750|0,000|Weizenvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*, Sultaninen||||Rosinenbrot||||750g|||||15.07.2020||||750 g|6,333|0,633|WEIZENVOLLKORNMEHL BIO; Rosinen bio; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1067 kJ / 255 kcal  /  Fett: 2,7 g  /  davon ges. Fettsäuren: 1,0 g  /  Kohlenhydrate: 47,1 g  /  davon Zucker: 14,4 g  /  Ballaststoffe: 6,4 g  /  Eiweiß: 7,0 g  /  Salz: 1,4 g  /  Broteinheiten (BE): 3,9  /  1 BE entspricht: 25 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1067|255|7,02 g|2,65 g|47,10 g|1,00 g|14,44 g|6,42 g|1,38 g|3,92|25,48 g|Gluten
10|*Landbrot bio 1000g|||Stück|5,050|0,000|5,050|0,000|Weizenmehl 550, Dinkelmehl 630, Roggenmehl, Bioreal-Hefe, Meersalz*||||Hafer-Reis-Brot|||||||||15.07.2020||||1000 g|5,050|0,505|WEIZENMEHL TYPE 550 BIO*; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENMEHL TYPE 1150 BIO; Wasser; DINKELMEHL TYPE 630 BIO; Salz; Bio-Realhefe bio||||Ø je 100 g:  Energie: 1063 kJ / 254 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 52,7 g  /  davon Zucker: 2,2 g  /  Ballaststoffe: 4,9 g  /  Eiweiß: 7,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,4  /  1 BE entspricht: 23 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Roggen, Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENMEHL TYPE 550 BIO*, SAUERTEIG ROGGENSCHROT BIO, DINKELMEHL TYPE 630 BIO, ROGGENMEHL TYPE 1150 BIO"||||||||||||||||||||||||||||||||||1063|254|7,87 g|0,90 g|52,74 g|0,18 g|2,21 g|4,91 g|1,81 g|4,40|22,75 g|Gluten
10a|*Landbrot-Meter bio|||Stück|6,900|0,000|6,900|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
10b|*Mini-Landbrot bio|||Stück|1,250|0,000|1,250|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
10c|*Landbrotkasten bio 1000g|||Stück|5,050|0,000|5,050|0,000|Weizenmehl 550, Dinkelmehl 630, Roggenmehl, Bioreal-Hefe, Meersalz*||||Hafer-Reis-Brot|||||||||15.07.2020||||1000 g|5,050|0,505|WEIZENMEHL TYPE 550 BIO*; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENMEHL TYPE 1150 BIO; Wasser; DINKELMEHL TYPE 630 BIO; Salz; Bio-Realhefe bio||||Ø je 100 g:  Energie: 1063 kJ / 254 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 52,7 g  /  davon Zucker: 2,2 g  /  Ballaststoffe: 4,9 g  /  Eiweiß: 7,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,4  /  1 BE entspricht: 23 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Roggen, Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENMEHL TYPE 550 BIO*, SAUERTEIG ROGGENSCHROT BIO, DINKELMEHL TYPE 630 BIO, ROGGENMEHL TYPE 1150 BIO"||||||||||||||||||||||||||||||||||1063|254|7,87 g|0,90 g|52,74 g|0,18 g|2,21 g|4,91 g|1,81 g|4,40|22,75 g|Gluten
10x|SB *Landbrot bio 1000g|||Stück|5,050|0,000|5,050|0,000|Weizenmehl 550, Dinkelmehl 630, Roggenmehl, Bioreal-Hefe, Meersalz*||||Hafer-Reis-Brot|||||||||15.07.2020||||1000 g|5,050|0,505|WEIZENMEHL TYPE 550 BIO*; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENMEHL TYPE 1150 BIO; Wasser; DINKELMEHL TYPE 630 BIO; Salz; Bio-Realhefe bio||||Ø je 100 g:  Energie: 1063 kJ / 254 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 52,7 g  /  davon Zucker: 2,2 g  /  Ballaststoffe: 4,9 g  /  Eiweiß: 7,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,4  /  1 BE entspricht: 23 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Roggen, Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENMEHL TYPE 550 BIO*, SAUERTEIG ROGGENSCHROT BIO, DINKELMEHL TYPE 630 BIO, ROGGENMEHL TYPE 1150 BIO"||||||||||||||||||||||||||||||||||1063|254|7,87 g|0,90 g|52,74 g|0,18 g|2,21 g|4,91 g|1,81 g|4,40|22,75 g|Gluten
11|*Stadtbrot bio 500g|||Stück|3,600|0,000|3,600|0,000|Weizenmehl 550, Dinkelmehl 630, Roggenmehl, Bioreal-Hefe, Meersalz*||||Mehrkornhörnchen|||||||||15.07.2020||||500 g|7,200|0,720|WEIZENMEHL TYPE 550 BIO*; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENMEHL TYPE 1150 BIO; Wasser; DINKELMEHL TYPE 630 BIO; Salz; Bio-Realhefe bio||||Ø je 100 g:  Energie: 1063 kJ / 254 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 52,7 g  /  davon Zucker: 2,2 g  /  Ballaststoffe: 4,9 g  /  Eiweiß: 7,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,4  /  1 BE entspricht: 23 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Roggen, Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENMEHL TYPE 550 BIO*, SAUERTEIG ROGGENSCHROT BIO, DINKELMEHL TYPE 630 BIO, ROGGENMEHL TYPE 1150 BIO"||||||||||||||||||||||||||||||||||1063|254|7,87 g|0,90 g|52,74 g|0,18 g|2,21 g|4,91 g|1,81 g|4,40|22,75 g|Gluten
11x|SB- *Stadtbrot bio 500g|||Stück|3,600|0,000|3,600|0,000|Weizenmehl 550, Dinkelmehl 630, Roggenmehl, Bioreal-Hefe, Meersalz*||||Mehrkornhörnchen|||||||||15.07.2020||||500 g|7,200|0,720|WEIZENMEHL TYPE 550 BIO*; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENMEHL TYPE 1150 BIO; Wasser; DINKELMEHL TYPE 630 BIO; Salz; Bio-Realhefe bio||||Ø je 100 g:  Energie: 1063 kJ / 254 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 52,7 g  /  davon Zucker: 2,2 g  /  Ballaststoffe: 4,9 g  /  Eiweiß: 7,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,4  /  1 BE entspricht: 23 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen, Roggen, Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENMEHL TYPE 550 BIO*, SAUERTEIG ROGGENSCHROT BIO, DINKELMEHL TYPE 630 BIO, ROGGENMEHL TYPE 1150 BIO"||||||||||||||||||||||||||||||||||1063|254|7,87 g|0,90 g|52,74 g|0,18 g|2,21 g|4,91 g|1,81 g|4,40|22,75 g|Gluten
12|*Roggenschrot Brot bio 1000g|||1000g|5,000|0,000|5,000|0,000|Roggenschrot, Natur-Sauerteig, Meersalz*||||Roggenschrotbrot||||1000g|||||15.07.2020||||1000 g|5,000|0,500|SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENSCHROT BIO; Wasser; Salz||||Ø je 100 g:  Energie: 831 kJ / 199 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 40,3 g  /  davon Zucker: 3,0 g  /  Ballaststoffe: 8,9 g  /  Eiweiß: 5,9 g  /  Salz: 1,7 g  /  Broteinheiten (BE): 3,4  /  1 BE entspricht: 30 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Roggen).
 - Zutaten mit ausgewiesenen Allergenen: SAUERTEIG ROGGENSCHROT BIO, ROGGENSCHROT BIO"||||||||||||||||||||||||||||||||||831|199|5,92 g|0,94 g|40,33 g|0,20 g|3,02 g|8,87 g|1,75 g|3,36|29,75 g|Gluten
